Displacement,Dist Outer (N),Dist Inner (N),Prox Outer (N),Prox Inner (N),,Dist Outer Stress,Dist Inner Stress,Prox Outer Stress,Prox Inner Stress,Strain
0,0,0,0,0,,0,0,0,0,0
1,0.5,0.6,0.8,0.5,,1.785714286,1.5,1.6,0.8333333333,0.1
2,0.8,1.1,1.1,1,,2.857142857,2.75,2.2,1.666666667,0.2
3,1,1.4,1.2,1.6,,3.571428571,3.5,2.4,2.666666667,0.3
4,1.6,2.6,1.9,2.7,,5.714285714,6.5,3.8,4.5,0.4
5,4.1,5.3,4.4,5,,14.64285714,13.25,8.8,8.333333333,0.5
6,,,,,,0,0,0,0,0.6
7,,,,,,0,0,0,0,0.7
8,,,,,,0,0,0,0,0.8
9,,,,,,0,0,0,0,0.9
10,,,,,,0,0,0,0,1
,,,,,,,,,,
,,,,,,,,,,
,Area (mm^2),Area (mm^2),Area (mm^2),Area (mm^2),,,,,,
Width,280,400,500,600,,,,,,
